Filename;ActivityName;Location;ReferenceProduct
0d0ea9b4-b2a7-4253-9e39-3d7b91b00f85_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of coal gas, in power plant;SE;heat, district or industrial, other than natural gas
0d0ffa4f-9492-44fb-8ffa-d37e0b32ee6e_3990b197-a303-4c36-ae1c-c2ddebaad744.spold;kerosene, import from RoW;CO;kerosene
0d114300-d4e7-469a-af7d-a0f888a61660_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from BR-Northern grid;BR-North-eastern grid;electricity, high voltage
0d119ca2-22e2-4f50-835f-e86a2b986a3f_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, softwood chips from forest, at furnace 5000kW;CH;heat, district or industrial, other than natural gas
0d11bdc1-ed25-4258-9dc5-1b9f61ecfdaf_f4389ace-1613-4908-858e-f96224f365ed.spold;wood preservation, spray tunnel/deluging, water-based preservative, indoor use, dry;RoW;wood preservation, spray tunnel/deluging, water-based, indoor use, dry
0d1d1184-afd4-45b8-9f36-2e6687085e55_18a6365f-6659-46d3-8e04-85235c2109cb.spold;lithium manganese oxide production;GLO;lithium manganese oxide
0d2193f6-5859-4470-9951-d93a975beeea_fb655769-10d8-446b-87f8-44ca60e20ed9.spold;transport, freight, lorry 16-32 metric ton, EURO4;RoW;transport, freight, lorry 16-32 metric ton, EURO4
0d229ec4-ab71-485d-b175-9192ecca5cc2_1b269b5c-9561-4809-b905-ec321866f3ce.spold;market for operation, computer, desktop, with cathode ray tube display, active mode;GLO;operation, computer, desktop, with cathode ray tube display, active mode
0d28725e-9124-4cba-9ce6-75963856aa5f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;US-MRO;electricity, high voltage
0d28fe5b-5719-4095-bfce-bd6cab0a5287_67d88d5e-1ca4-4824-a491-5900d48840df.spold;compressed air production, 800 kPa gauge, <30kW, average generation;RoW;compressed air, 800 kPa gauge
0d2e8485-0747-4c96-b441-62de85392ed0_8c48d3e8-2f09-4399-83e5-a68209144b0d.spold;cyanogen chloride production;RoW;cyanogen chloride
0d30ac8f-f8a9-42a4-9bab-46d68fef94c8_d489bb71-b54d-4bbe-8bce-15aa0d1bc608.spold;market for sulfite;RER;sulfite
0d326dbf-9dc5-446c-a6bd-ad62a8592f58_5357a067-f798-46fb-97b0-fa18f723341b.spold;treatment of waste reinforced concrete, recycling;RoW;waste reinforced concrete
0d339822-8369-47bb-bc53-f36a12836018_895b9704-1eef-4395-a880-cb5ca0001bba.spold;market for natural gas liquids;GLO;natural gas liquids
0d3937e2-6451-4c9d-ae5c-cc2b2bb2ce54_71aeb89d-1039-4f7f-ab8a-cda6b730c316.spold;market for ammonium carbonate;RoW;ammonium carbonate
0d3f36d7-0cf1-4a60-a5b4-56356b39baa0_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas;PL;heat, district or industrial, other than natural gas
0d404da2-7bcf-4e41-817f-4efb4d0de4a8_fa61e123-954d-4c67-a47a-215cc17a7f00.spold;NMC111 oxide production, for Li-ion battery;CN;NMC111 oxide
0d433206-93b8-4c63-ad87-88c5b00f3efd_d1a4a803-c563-4740-84cf-3c21a488bd74.spold;treatment of scrap steel, municipal incineration with fly ash extraction;CH;scrap steel
0d47c274-0d0d-484f-b180-990bd613b6d8_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, wood chips from post-consumer wood, at furnace 300kW;RER;heat, district or industrial, other than natural gas
0d4808c1-348d-4f0d-bec6-6c90092aa6aa_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, tropical region;CO;electricity, high voltage
0d52798d-21be-4690-92a3-b3a59808e5bb_6968a565-8132-49c4-b3ff-1d0865af0fdc.spold;market for expanded clay;GLO;expanded clay
0d5c9288-d77e-4f97-a99b-a8f36ba85fe3_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;clear-cutting, primary forest to arable land, annual crop;BR-TO;land tenure, arable land, measured as carbon net primary productivity, annual crop
0d62579a-73e5-44ca-bea6-fba1b8009ec8_42a1bdfc-883d-41f0-b83a-1c5527e34de7.spold;market for sawlog and veneer log, softwood, measured as solid wood under bark;CA-QC;sawlog and veneer log, softwood, measured as solid wood under bark
0d66b0e9-8980-4e67-aa96-8ca501f9eba2_99ba8208-7a4c-46e7-b4f0-6d93a8332c0b.spold;market for activated carbon, granular;GLO;activated carbon, granular
0d67df7c-20e9-4db1-8e12-137aa9e7ecc7_ac346633-b838-5e28-b494-0581f963e68d.spold;market for plywood;RER;plywood
0d6bb925-d096-4a20-95a9-cebd81fc9851_618bf4eb-bee5-4d38-8e4f-78cfebf779be.spold;market for scrap aluminium;RoW;scrap aluminium
0d6d1566-da8e-48c6-94f9-40f0a8e7bbb7_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, wood chips, 6667 kW;UA;electricity, high voltage
0d6d1566-da8e-48c6-94f9-40f0a8e7bbb7_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW;UA;heat, district or industrial, other than natural gas
0d716b80-5588-4907-9dd3-6073e854ad5c_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;AZ;electricity, low voltage
0d73d23d-dda0-474b-baf7-f7a5f50860c6_3fc068d9-71cf-5f55-8e15-1675bbc38caf.spold;non-ionic surfactant production, fatty acid derivate;GLO;non-ionic surfactant
0d741ed7-d1b6-4876-9a85-def82b9ba6c1_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;IN-AR;electricity, high voltage
0d758966-bd5d-4633-b5d9-932c2dbc49db_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;GT;electricity, medium voltage
0d759648-9269-4a5f-a4c2-d9301da50349_9a590a5d-dd23-440f-881c-bbe66516c7b7.spold;mine construction, open cast, steatite;CA-QC;mine infrastructure, steatite
0d79a3ec-c093-4e11-b78c-85507fe6ac46_5543d899-1cbd-4acf-a770-befd41102943.spold;hydroformylation of propylene;RoW;1-butanol
0d8472af-9b30-4d8a-9b12-c651ee5580c2_bfd577e2-82b4-4166-af2b-3bda540931f6.spold;market for waste mineral wool;RoW;waste mineral wool
0d8a877e-da89-4dfc-b816-bce83d4bd069_2f6880f1-d79c-436d-9fe2-5a589d0e504b.spold;potassium nitrate production;CN;potassium nitrate
0d8fbbc7-0172-4188-ada9-e7e04f767864_fa1a0aa9-9caa-4857-9705-38ea33047640.spold;finishing, textile, knit cotton;GLO;finishing, textile, knit cotton
0d92b13e-2c1c-4c64-8525-1ed82e52481b_51202bed-5f41-4b96-a788-9f6649dcb3c8.spold;iron (III) chloride production, product in 40% solution state;CH;iron (III) chloride, without water, in 40% solution state
0d931d02-c47f-4a1e-b15a-388a460a7f6c_30893fd0-6787-4e02-a827-0d89fa153f36.spold;treatment of garden biowaste, home composting in heaps;RoW;biowaste, garden waste
0d931d02-c47f-4a1e-b15a-388a460a7f6c_f43c95e7-40e6-4ba9-9ab1-d1bc10d3fa79.spold;treatment of garden biowaste, home composting in heaps;RoW;compost
0d962853-f913-4b5e-b429-1f68626eb588_51c7e57a-00b7-4412-b56c-94c17b211ee7.spold;epoxy resin production, liquid;RER;epoxy resin, liquid
0d9a6e2d-ba4a-4dc8-8138-5c7f9f0131da_15e08bcb-75e0-4f45-ab47-d6ddff721ebc.spold;acetone production, liquid;RER;acetone, liquid
0d9b0dbf-36b6-4e65-88d1-f21a6890ade7_99ba8208-7a4c-46e7-b4f0-6d93a8332c0b.spold;treatment of spent activated carbon, granular from hard coal, reactivation;RoW;activated carbon, granular
0da62564-0de5-45f6-8319-618ef6111d57_6eb408db-980a-4b9e-82a8-b6dca183ec35.spold;softwood forestry, pine, sustainable forest management;DE;pulpwood, softwood, measured as solid wood under bark
0da79eb5-317a-45d7-bad3-a511db6518e5_3473bca6-5172-44d2-bda1-1f681e891ca8.spold;hardwood forestry, eucalyptus ssp., sustainable forest management;RoW;sawlog and veneer log, eucalyptus ssp., measured as solid wood under bark
0dab238e-8ee6-498d-806b-c5578b10b814_ab174bb8-0dd0-4d99-8e15-dd786894f664.spold;maintenance, micro gas turbine, 100kW electrical;RoW;maintenance, micro gas turbine, 100kW electrical
0dab622d-2bf4-43c1-9ce8-ca3f4010022c_f6161096-34e3-49c9-911e-060659b0dea1.spold;market for aluminium, primary, cast alloy slab from continuous casting;GLO;aluminium, primary, cast alloy slab from continuous casting
0dad8ee1-e3bf-44ec-a81c-e6718a1204d6_87107b53-bed1-4bbf-acc4-477a5136f286.spold;integrated battery interface system production, for Li-ion battery;GLO;integrated battery interface system, for Li-ion battery
0db04d18-e4c2-4847-b14e-504b371776af_bab7524a-43df-40ff-ab5b-2a318758273d.spold;market for triazine-compound, unspecified;GLO;triazine-compound, unspecified
0db220e2-a2aa-4b02-954a-ece1f55d5930_46c8ade1-910f-4abf-b255-7f2a348181d2.spold;building construction, luxury hotel;PE;building, luxury hotel
0db284b5-31bb-4d89-be76-fee4a7f1b743_0bddecfa-a3d2-46fe-b31e-f794ff258621.spold;ammonium paratungstate production, ion exchange;CN;ammonium paratungstate
0db87a9d-0cd2-45c1-957f-c8e72b947edb_3685d0f1-3ac5-420b-8823-bf6b8cbc38e4.spold;treatment of wastewater from hard fibreboard production, capacity 5E9l/year;RER;wastewater from hard fibreboard production
0dba01ba-9f9b-4ab8-a671-90ef55b77b63_d58b2ab4-8d9f-4be7-9cba-d02bbb8da1df.spold;market for NMC811 hydroxide;CN;NMC811 hydroxide
0dbba47f-97dc-4bdf-a316-48f7d7e556e1_27da8130-82ba-485c-a800-b89efdcb0491.spold;market for municipal solid waste;LU;municipal solid waste
0dbf5b4d-ad20-44af-a10a-5a0e6689c459_2e0e7474-61d8-4324-93aa-5df18338c53e.spold;market for bitumen seal, V60;GLO;bitumen seal, V60
0dc04440-2f92-444b-bbbc-8789f457051b_f4eed19a-f927-5017-a69d-fe505180bb7d.spold;market for used beverage cans;RoW;used beverage cans
0dc05cff-8459-49cc-943e-585bf912833e_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from ammonium nitrate;CN;inorganic nitrogen fertiliser, as N
0dcafd50-f10e-480d-95d0-dbc376d6762a_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;PL;electricity, high voltage
0dcb9a5b-ff41-4452-8179-5498829cecb1_ac10bf36-d24f-4486-a631-e4a4e7a90b05.spold;market for carrot seed, for sowing;GLO;carrot seed, for sowing
0dcc2a08-ae20-4557-b1bf-a27c8ba9f53b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;CN-SH;electricity, high voltage
0dd023c4-d09b-4f64-a5b4-1bef613e7f38_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;MK;electricity, high voltage
0dd40181-4714-4e83-80fa-d8d7673db69c_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;SY;electricity, medium voltage
0dd4791b-8ebf-4bb5-b341-b57ad54f215c_42baed81-24d1-4aed-a120-cc7d35ddac10.spold;market for waste paperboard;SI;waste paperboard
0dd4b39e-651f-47b5-be64-05f97b5c0373_a4bd6ef4-202d-47c2-9939-a77e1bcf192a.spold;clinker production;BR;waste foundry sand
0dd7ef9e-7a87-4276-ad10-f1edf749bb14_16303e09-077e-4532-98c2-95fae1eb66fb.spold;N,N-dimethylformamide production;RER;N,N-dimethylformamide
0dda99d1-6c80-4f90-a511-145f50de313c_3b01838a-28d0-43f5-8024-3fad9a5392c2.spold;clinker production;US;sewage sludge, dried
0ddaac1f-6186-4bc7-a691-a59d1d37f002_1fb2e33c-efb6-42f9-99e0-f9024ace9fcc.spold;softwood forestry, spruce, sustainable forest management;SE;cleft timber, measured as dry mass
0ddbf178-6c48-41f1-812d-7d0e3f92d347_39a36901-8f0b-402b-bfbd-8f88a325afc9.spold;photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof;CH;photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof
0ddc529f-43a8-40ac-b1f2-37c98feb67a4_d006454e-161f-4b7f-ad8a-8892ee176041.spold;cyclic N-compound production;RER;cyclic N-compound
0ddd714b-a33a-408e-b6f5-99850368eb36_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;CN-JX;electricity, high voltage
0de236c4-00c9-4d77-80e0-0aacbc359e08_692b4f7e-9e79-4f69-b22f-b66f68f2f9cc.spold;barley production, organic;CH;straw, organic
0de236c4-00c9-4d77-80e0-0aacbc359e08_f467c4d0-ea1c-4ae3-8d69-712598a0478a.spold;barley production, organic;CH;barley grain, organic
0dec7e0e-2394-400a-9d17-ad1f50dff9aa_258f8045-3c9c-42fc-81f1-ebce679ca09f.spold;market for keyboard;GLO;keyboard
0dec9af4-c156-4c4f-883d-681a0a8b4707_0e4b14c0-1ca8-4b85-81d9-0fe263803719.spold;treatment of low level radioactive waste, plasma torch incineration;CH;low level radioactive waste
0df68f7c-ecbc-43f8-ac6e-9347e9383189_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;IS;electricity, low voltage
0dfe4291-309e-49bc-90a5-2fce37d72669_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;operation, solar collector system, Cu flat plate collector, one-family house, for combined system;CH;heat, central or small-scale, other than natural gas
0e049e7b-305d-4a13-822e-dfd5dc82f5ec_27064b22-328b-4578-9739-933b87b94abb.spold;lightweight concrete block production, polystyrene;RoW;lightweight concrete block, polystyrene
0e053c66-e119-43f5-b305-f7adfc5b54f2_beb1b4ef-e2ad-40e3-934f-10a2c0006eed.spold;rare earth element mine operation and beneficiation, bastnaesite and monazite ore;CN-NM;rare earth oxide concentrate, 50% REO
0e053c66-e119-43f5-b305-f7adfc5b54f2_cb262c3c-a7c7-4781-82e6-e1e90dd92b65.spold;rare earth element mine operation and beneficiation, bastnaesite and monazite ore;CN-NM;iron ore concentrate
0e0c8756-71f9-4b2a-b38e-090e6eb92b4e_7c0ab4ca-e778-44c1-a33d-c26466d32c1a.spold;energy and auxilliary inputs, metal working machine, with process heat from natural gas;RoW;energy and auxilliary inputs, metal working machine
0e15e074-1a90-4fe8-80cc-c15a58cdb426_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc.spold;market for waste brick;Europe without Switzerland;waste brick
0e170e23-ece8-4b8d-a380-64282a3a087f_817c3650-4fed-4ef2-b9b6-404a198834e6.spold;steel production, electric, low-alloyed;IN;steel, low-alloyed
0e1c0c3d-309b-44fa-a227-5a90d67223d5_eea4367a-96f1-46ca-8c58-8857714fc670.spold;market for maintenance, light commercial vehicle;GLO;maintenance, light commercial vehicle
0e1fd1c7-1861-4c98-a265-ddabed1ff450_45c9c99d-a8e1-43f7-afab-7610034ad887.spold;market for sawnwood, lath, hardwood, raw, dried (u=20%);RoW;sawnwood, lath, hardwood, raw, dried (u=20%)
0e202c62-3ef5-4847-843f-ba2897b62019_79b268ec-9d31-41d2-9bc0-fb12ae0d39fc.spold;cocoa bean production, sun-dried;RoW;cocoa bean
0e222743-2868-427a-8bea-3fe2cd0d8994_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;PE;electricity, low voltage
0e25f86e-f883-410f-9a5a-de6e85f42f50_0b9fafd6-2b18-4ec6-a155-26ce0685cffc.spold;market for magnesium sulfate;GLO;magnesium sulfate
0e2e1a35-dad3-459b-9dd3-fd89e4eaef27_9b1c31ff-2e61-4e5f-957c-1452378729ad.spold;carton board box production service, with gravure printing;RoW;carton board box production, with gravure printing
0e313f2a-db2d-4e0f-9e0a-77c2aec7441f_55b748b9-8640-4c2b-aade-97e6bfc4a6f1.spold;green manure growing, organic, until March;RoW;green manure, organic, until March
0e3d737b-31cf-4c99-b188-b0cb116fbdd1_29026153-01e0-4b94-9ba5-173e3986ed08.spold;alkylbenzene sulfonate production, linear, petrochemical;RoW;alkylbenzene sulfonate, linear, petrochemical
0e4aeb3c-077b-42ba-b178-78b12ad03e8f_96ca17ef-cd4b-410f-b50e-d00d58dd8b94.spold;market for sawnwood, hardwood, dried (u=10%), planed;RER;sawnwood, hardwood, dried (u=10%), planed
0e4bfcf0-9148-41dc-8995-1a99bc42b03d_01211f39-f29c-4c55-9918-1e6bc2386ae4.spold;market for impact extrusion of steel, warm, 2 strokes;GLO;impact extrusion of steel, warm, 2 strokes
0e4c7193-22ac-4b23-baee-e913f44a6470_9891d347-28f8-434d-896a-84a19a4c68a6.spold;lemon production;ES;lemon
0e4cff4b-d33d-4124-9ffd-15e7d1bf5dd8_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;HU;land use change, annual crop
0e4dcfc6-6c7e-4c71-b292-db3cc8d26747_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;CN-GD;electricity, high voltage
0e52998a-9ed5-42ec-a9ed-973c9b8cbb20_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from RU;NL;natural gas, high pressure
0e5e6554-8cc1-4fd6-a137-10887a74e7b8_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity, from municipal waste incineration to generic market for electricity, medium voltage;CZ;electricity, medium voltage
0e64facb-1666-4f82-a41c-a7e043015568_d442c8f3-cfd9-42cb-a262-c70cf03926ad.spold;wood preservative production, organic, indoor use, dry;GLO;wood preservative, organic, indoor use, dry
0e66c4d5-910a-44b5-bedc-c6f2043f2421_b3280788-057e-49a7-9d66-48c1e2e93728.spold;chopping, maize;RoW;chopping, maize
0e68e0ad-74d7-4367-94c5-1c58f0b4ea19_b28cfd95-443c-4abd-887d-8aec49e2b764.spold;treatment of waste bitumen sheet, municipal incineration;CH;waste bitumen sheet
0e6bd67c-df7c-4007-b488-5c2a987b310f_e0333848-5397-4b8b-a304-108a3e1ac1ee.spold;electrolyte, copper-rich to generic market for copper-rich materials;GLO;copper-rich materials
0e6d29df-cc1f-44a4-a3b8-9dc87e2a362d_6854fd9d-b189-4677-b55f-45c52bec224e.spold;catalytic converter production, selective catalytic reduction, 200 litre;RoW;catalytic converter, selective catalytic reduction, 200 litre
0e6ebbec-5362-4786-835a-540834faf236_de97df0a-4ad8-439a-b1f9-ba7972ee02a5.spold;market for used reefer, intermodal shipping container, 40-foot, high-cube;GLO;used reefer, intermodal shipping container, 40-foot, high-cube
0e7094ef-4aca-459d-b33e-8eba4aa8bd1c_cc7e810b-79d2-4c9c-96e6-60a3c739952c.spold;transport, helicopter, LTO cycle;GLO;transport, helicopter, LTO cycle
0e719f60-94b7-4a20-8052-a37006bdd77f_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold;diesel, low-sulfur, import from RoW;BR;diesel, low-sulfur
0e726d1a-eb49-42dc-be40-8e136719a92f_159ebab4-dc26-448a-a3d7-5c0f28ed883a.spold;operation, computer, laptop, off mode;CH;operation, computer, laptop, off mode
0e779907-ba4e-42e8-bcf9-dcdd0ab537b5_febb64a0-4ae5-4e5a-bb1c-284f59dc64a1.spold;treatment of spent Formox catalyst base from formaldehyde production, residual material landfill;CH;spent Formox catalyst base from formaldehyde production
0e788e26-5cea-415e-9c2c-3f5b67a2266d_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;FR;electricity, high voltage
0e7ce6c3-37ec-45d5-a4d3-65876159733f_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;market for heat, for reuse in municipal waste incineration only;CZ;heat, for reuse in municipal waste incineration only
0e7da749-a03b-470b-8dbd-b589f852ff29_6fe4040b-39c7-4d58-b95b-6ee1de4aedb3.spold;clay pit construction;RoW;clay pit infrastructure
0e7eecd1-321a-4aa9-bd16-2a840713fe87_dadc7057-9041-4fae-893c-20aba9725f29.spold;maize grain production;ZA;maize grain
0e7f2f11-9d2b-4395-b1ec-350e6d6de299_db314df7-a55f-4c57-b1b7-1bec53c2740c.spold;activated bentonite production;DE;activated bentonite
0e840d7d-98da-43ae-93d3-e3520c901642_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of blast furnace gas, in power plant;CN-HE;electricity, high voltage
0e840d7d-98da-43ae-93d3-e3520c901642_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of blast furnace gas, in power plant;CN-HE;heat, district or industrial, other than natural gas
0e859da0-4864-4693-8b1d-5892be02e05f_9faff831-114e-44fd-a77e-90eada520e81.spold;treatment of steel in car shredder residue, municipal incineration with fly ash extraction;CH;steel in car shredder residue
0e8d47f7-de90-4889-8e5a-6e20a1e563de_2b59fad8-8845-4187-bcf1-a25af7fff32d.spold;market for steel removed by turning, average, conventional;GLO;steel removed by turning, average, conventional
0e8df0c8-f778-486d-98d3-c09c0ecc2804_ef7d455e-a506-48a9-bb01-117b1a8fb996.spold;contouring, brass;RER;contouring, brass
0e8f4378-6a90-4fc1-a4d9-ae5794f4b700_20683f58-5507-405c-b466-33d6cfd8623c.spold;market for methyl methacrylate;RoW;methyl methacrylate
0e90cea7-ac0a-475c-861f-313ce1e584fa_9c5b9099-11e9-4a60-af91-c0346cdf9395.spold;cooling energy, from natural gas, at cogen unit with absorption chiller 100kW;RoW;cooling energy
0ea85f28-7ae2-4b55-a45c-373155d5675f_9d447e1a-a41a-43ac-b374-d0fc6dcb61df.spold;market for liquefied petroleum gas;RoW;liquefied petroleum gas
0eaa0e24-0cce-470f-8a08-a41b089f91b0_c5d2f044-1ca4-4876-b0d9-7baac36ab6eb.spold;market for frozen fish sticks, hake;GLO;frozen fish sticks, hake
0eaa2d2a-2476-405e-ac4c-d045031a4cd0_1f1eca90-d90c-40ea-bcbb-1c821e3bfa0d.spold;perlite quarry operation;RoW;perlite
0eb18e1b-2c1a-41ff-88de-72099a973f3a_0c16d27e-bc20-458c-a2d0-e704cdac7869.spold;potassium perchlorate production;GLO;potassium perchlorate
0eb38d24-86c4-4f5f-8275-1bc956aa8422_46485e9c-5b50-43fd-bb1c-b06a9ae4d3af.spold;market for chipper, mobile, diesel;GLO;chipper, mobile, diesel
0eb9fdab-2284-4424-ab12-293871de2ef3_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, alpine region;CA-AB;electricity, high voltage
0ebec7f5-5644-449a-b629-02c3cd69c0f1_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from AR;BR-Southern grid;electricity, high voltage
0ec347b1-0512-4cd3-aca3-5b3a6f728751_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;EE;electricity, high voltage
0ec4c9ac-3e8e-45bf-bc16-1923750a35d2_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;IN-TN;electricity, high voltage
0ec4fa93-acdb-4d49-b254-433710a8b816_27da8130-82ba-485c-a800-b89efdcb0491.spold;treatment of municipal solid waste, incineration;SE;municipal solid waste
0ec4fa93-acdb-4d49-b254-433710a8b816_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of municipal solid waste, incineration;SE;heat, for reuse in municipal waste incineration only
0ec4fa93-acdb-4d49-b254-433710a8b816_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of municipal solid waste, incineration;SE;electricity, for reuse in municipal waste incineration only
0ec84a6d-e9cf-41b2-8d5b-187eaf444528_c6486335-b555-43bb-a748-50a607a75d23.spold;market for housing system, cattle, tied, per animal unit;GLO;housing system, cattle, tied, per animal unit
0ec889d7-e2ff-41e3-9759-2818b9d5e16a_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;FR;electricity, low voltage
0ec93fec-99d5-406b-9009-5a4ba1086cd7_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;CN-HL;electricity, high voltage
0ee17ecd-cfe8-42d6-b084-799e085320ae_4a7cb413-a6f1-4b74-b366-c8ef7a781026.spold;sawnwood production, softwood, raw, dried (u=20%);RoW;sawnwood, softwood, raw, dried (u=20%)
0ee363d1-2830-4a0c-b301-a9f9884531dc_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;ET;electricity, low voltage
0ef1c4bc-b389-44b8-a3e4-516b54201c25_ff843823-88e5-4020-aff6-2e33dcfc0983.spold;maize silage production;ZA;maize silage
0ef4e2c3-2388-40f3-9c53-b5c1c24de5fc_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;UZ;electricity, low voltage
0efa2a28-166c-4da9-8266-f9f086eb3a1f_8f5d2384-9122-448e-9930-f052284441ff.spold;market for tallow, unrefined;GLO;tallow, unrefined
0efd00ab-ca13-4052-a36e-ec7f45dde132_77282160-5a7e-4a84-9ba1-b0d81e14f10a.spold;tillage, hoeing and earthing-up, potatoes;CH;tillage, hoeing and earthing-up, potatoes
0f032446-459a-4f0a-98bf-8a46c7b29e40_9c563baa-b91f-4f34-a0c4-9303ffa71870.spold;anchovy, capture by wooden purse seiner and landing whole, fresh;PE;landed anchovy, fresh
0f062820-5826-48ce-a0cf-01ee831af2f9_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold;market for copper, cathode;GLO;copper, cathode
0f0d647e-0537-4d98-9415-ce0f93457fbd_38d493e9-6feb-4c66-86eb-2253ef8ee54d.spold;sodium silicate production, furnace liquor, product in 37% solution state;RER;sodium silicate, without water, in 37% solution state
0f1047fb-d852-4899-a061-bdb0028ebca6_267c6637-2ba7-40dc-b17d-9d5eaa4f0fe5.spold;impact extrusion of steel, hot, deformation stroke;RoW;impact extrusion of steel, hot, deformation stroke
0f118a90-40ed-4982-8785-4e2aac024733_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, >3MW turbine, onshore;CA-ON;electricity, high voltage
0f1ceb8d-72ce-446b-b25c-78dd3bb79e7a_6c9e6cea-92b2-4e11-99d7-7a4199f3ed78.spold;treatment of wastewater from ammonium paratungstate production, capacity 5E9l/year;RoW;wastewater from ammonium paratungstate production
0f1e3a25-5d14-4d30-bb01-7cf65a2f5f39_fd27af60-7b68-4549-bf35-022eacd74f93.spold;market for waste paperboard, sorted;GLO;waste paperboard, sorted
0f216687-65f2-4bb0-8fe9-f2fb041ca86f_42baed81-24d1-4aed-a120-cc7d35ddac10.spold;market for waste paperboard;PE;waste paperboard
0f22d7e9-0120-4d4f-97ed-282b0c5d3a31_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;LY;electricity, low voltage
0f251fc5-07d1-4982-9626-10fef6fa1e4c_d8649ed8-daa1-43e2-976b-aa0e15f5680d.spold;market for steel removed by milling, average;GLO;steel removed by milling, average
0f269522-170c-4480-a06b-2cfd77f72b60_135a953b-2acb-4c85-9d1c-7a268b5750ff.spold;dithiocarbamate-compound production;RER;dithiocarbamate-compound
0f287a46-f11a-450b-b291-288d8974a894_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;clear-cutting, primary forest to arable land, forest, intensive;BR-MT;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
0f28e9fc-ef10-4dc7-afda-8d2ec3b7e1bf_edcfa83a-363a-4b2d-8d6a-612e32dfcdfc.spold;sodium chloride production, powder;RoW;sodium chloride, powder
0f2a00ca-406d-4515-a48e-9128e955b737_76ab0018-e176-43e0-b42c-12e82b937fef.spold;treatment of hard coal ash, residual material landfill;PL;hard coal ash
0f2f8c0b-1cc6-4f4c-8489-69dd9effb7d8_af581725-c19e-41f8-bc08-d1926d6c5317.spold;cement production, blast furnace slag 40-70%;RoW;cement, blast furnace slag 40-70%
