Filename;ActivityName;Location;ReferenceProduct
009c7528-f74b-43a3-96fc-60de233aabab_39f50029-2aae-470f-87dc-5e24405df568.spold;vinyl fluoride production;US;hydrogen fluoride
009c7528-f74b-43a3-96fc-60de233aabab_9298c81d-93e6-415e-9405-2872fc17ae0c.spold;vinyl fluoride production;US;vinyl fluoride
009e7011-b499-472e-9c95-eed0ad1e478c_27da8130-82ba-485c-a800-b89efdcb0491.spold;market for municipal solid waste;CZ;municipal solid waste
009fa1a0-4476-4a38-8067-e45ed2a26178_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;CA-BC;electricity, low voltage
009fdd76-0308-49d6-8ecb-88104c6d2654_7f56554d-e090-4df5-b538-3a235b534353.spold;treatment of used locomotive;RoW;used locomotive
00a5f8b2-3e07-4a1c-9dfc-82e5fc5b692b_485b4fc4-90b7-4c36-9bb4-fd116ad34538.spold;natural gas production, medium pressure, vehicle grade;RoW;natural gas, medium pressure, vehicle grade
00a7c4b9-d01d-4f77-b617-5d74a764815a_4da7438b-1508-4eb9-b58b-9e85fcf26801.spold;market for natural gas processing plant;GLO;natural gas processing plant
00ae7a6a-2ea2-432d-b7df-9e446abf0110_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, primary forest to arable land, perennial crop;BR-BA;land tenure, arable land, measured as carbon net primary productivity, perennial crop
00b2d865-953a-4447-a52b-ed89299eaad2_6d2c81d0-5546-4bc3-a4f4-3e88606d539d.spold;bark chips production, softwood, at sawmill;RoW;bark chips, wet, measured as dry mass
00b651b2-58b8-4f21-822c-7c3746746f9d_c17913f3-7fcb-4c75-823f-32c9ff843f43.spold;ethyl benzene production;RoW;ethyl benzene
00b92237-89a2-421b-bff3-d3fae99204fb_0ec7f55d-8bba-4887-a3e5-43100357f9af.spold;wastewater treatment facility construction, capacity 1.6E8l/year;RoW;wastewater treatment facility, capacity 1.6E8l/year
00baa921-a6f6-46a1-87ce-ca0a88acaa68_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;PL;electricity, high voltage
00bb2216-b49f-4874-976f-081459c02c95_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;market for land tenure, arable land, measured as carbon net primary productivity, annual crop;IT;land tenure, arable land, measured as carbon net primary productivity, annual crop
00bd321a-09e5-4750-8408-7407162620a9_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;natural gas, burned in gas turbine, for compressor station;NL;electricity, medium voltage
00bdf7fd-cd13-4734-a4a0-d9fbe51d938c_775234b1-0e93-4cdb-9cd2-db60577e1a5a.spold;market for solar collector system, with evacuated tube collector, one-family house, combined system;GLO;solar collector system, with evacuated tube collector, one-family house, combined system
00c32eba-bb01-4d23-bf9c-94d1fd7259bf_1725bc7a-ae6b-4584-bd36-7dfbf52a0b3b.spold;mecoprop production;RER;mecoprop
00c57358-aa6f-48d5-821e-388e7af78e32_28c2473e-1e11-4078-9a76-de9550553adc.spold;market for oxygen, liquid;RoW;oxygen, liquid
00c6f475-d6a9-42be-a89f-4104be89e82f_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;natural gas, burned in gas turbine, for compressor station;NO;electricity, medium voltage
00c7d6be-50b4-4d2f-a98d-f11dc78f3af8_c9da0f61-1cb7-585e-8999-d5cb262aa539.spold;market for amine oxide;GLO;amine oxide
00cbd4cc-3aa1-4c78-9f8e-3f1b927dac6d_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, >3MW turbine, onshore;GR;electricity, high voltage
00cd92ca-c3ca-47f9-9a38-82bc1bd04f3e_a00b7e35-1bc7-4b73-9df8-05f3dd07ffdb.spold;market for lime;RoW;lime
00d18c91-4aa1-4b23-8f9f-ed2ab3a971bf_8fda3621-abdb-4d90-bec5-87ced6183e4f.spold;market for maintenance, barge;GLO;maintenance, barge
00d2cb9a-1b4e-4387-8240-4b7783e28bac_f6503135-81f4-4291-a643-14f92f05797a.spold;market for laser machining, metal, with YAG-laser, 500W power;GLO;laser machining, metal, with YAG-laser, 500W power
00d678d2-0160-4fab-83ad-da42ea07408b_9ffca1fd-6373-4acc-ad91-7d9380fa8058.spold;train production, passenger, high speed;RoW;train, passenger, high speed
00d68289-35c0-43e8-95c5-f4acf329473f_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat production, natural gas, at boiler condensing modulating >100kW;CA-QC;heat, district or industrial, natural gas
00d72e14-aac9-47c3-b710-5a9e8fd40f4f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, >3MW turbine, onshore;US-WECC;electricity, high voltage
00e5e961-ee72-493b-bcb1-c9c674c46965_46f4775b-0dee-4e49-8669-7108147c5f41.spold;market for operation, computer, desktop, home use;GLO;operation, computer, desktop, home use
00e620a3-5973-4146-a6ae-60526ba3813b_2078f291-646e-48ee-b5d3-a5f6d69a8655.spold;market for chlorine, for reuse in titanium tetrachloride production;JP;chlorine, for reuse in titanium tetrachloride production
00eaf48c-1d77-44a9-81c1-e30c117ca780_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, perennial cropland to annual crop;NZ;land tenure, arable land, measured as carbon net primary productivity, annual crop
00ecd986-8ddc-44de-94d8-f83ae16175e1_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market for irrigation;MY;irrigation
00ee4994-0c4f-43b9-8f4d-6cce9495b109_4fcfb407-7879-42ad-9582-ab3fbfe5af10.spold;market for electricity, medium voltage, aluminium industry;IAI Area, Gulf Cooperation Council;electricity, medium voltage, aluminium industry
00f19628-2781-5b1c-b485-626dc54e31c1_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8.spold;copper mine operation and beneficiation, sulfide ore;US;copper concentrate, sulfide ore
00f19628-2781-5b1c-b485-626dc54e31c1_759783e0-89c4-486e-970a-5dcb2de165de.spold;copper mine operation and beneficiation, sulfide ore;US;molybdenite
00f4bf2c-747f-4207-8b21-de079b39fdc8_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;US-RFC;electricity, high voltage
