Method,ESA Score,ΔV (m/s),Altitude (km),GLOW (t),Feasible
Baseline,53.05169650826894,7562.158159504859,316.77665664798764,343.7801974843835,False
CMA-ES-AL,60.198971214754984,7825.3360334301815,302.22694130225295,398.2485101526102,True
SLSQP,47.23260744049286,7928.179960070882,176.5534047455471,311.87315519141276,False
