Method,ESA_Score,Delta_V,Altitude_km,GLOW_t,GWP_tCO2,Feasible
CMA-ES-AL,58.23651313583251,7813.03882931042,310.62075821642486,352.9293440161885,1267.8024717164456,True
SLSQP,47.22321145546177,7820.003840230189,249.847015729459,311.872828484103,1024.6330281775795,False
