eval,ESA
0,702.5153855854796
1,706.9629067361179
2,732.4814304562257
3,728.0623170778531
4,706.4923798585739
5,711.8050752884023
6,703.1315902143626
7,711.5388658291704
8,726.5303042038754
9,728.5075842026376
10,705.7526764985969
11,723.5701821155394
12,697.9708928495975
13,703.1203365170886
14,716.9871091328952
15,739.2510987842402
16,703.5861289686766
17,716.1738835489182
18,713.2457782088572
19,725.2526543367767
20,699.8418343520701
21,712.089708303919
22,719.5275253326461
23,702.4724274847241
24,711.303294737415
25,696.3069595668605
26,703.2346088647771
27,702.8445687819449
28,701.034334507926
29,702.6213086878668
30,769.5734899473512
31,702.7441820554716
32,705.7504516086267
33,709.6637582949659
34,694.8288308744859
35,707.4885850847686
36,709.8227900769011
37,693.9697687595274
38,723.0956495905518
39,697.7136841373574
40,711.6862614156239
41,728.1481895113918
42,720.2820551420723
43,706.9616134951489
44,733.9202867952818
45,718.4666542519163
46,707.0707505676852
47,704.6725474962395
48,707.0441904921217
49,703.8211428968151
50,699.702340091182
51,712.2563472894732
52,693.2089817250924
53,712.968074721287
54,705.2437840736918
55,721.2660999099269
56,727.0995730498958
57,715.3081666684434
58,712.2576742693125
59,699.1473075940524
60,712.50463982514
61,695.9984644103567
62,724.2834967660344
63,714.3579004134156
64,705.3576855992487
65,702.9417530052149
66,700.7522151786468
67,721.9347936654683
68,720.8203027862507
69,702.2869333000324
70,694.6204801611498
71,709.1875398814357
72,709.9678705539361
73,715.0200411624862
74,721.56080683919
75,715.3946760349818
76,707.3785371926668
77,717.2629464386165
78,706.7715202032167
79,710.2675942441576
80,711.4163330217159
81,713.4557083431228
82,713.5112840896214
83,705.3608249039378
84,706.0155282414566
85,704.044095852806
86,725.6298490257805
87,707.0248223804706
88,708.5870327352193
89,728.4009274775608
90,709.4253408169902
91,714.6873672644031
92,706.6153749921607
93,711.9622918920593
94,708.593227543861
95,710.3923470641435
96,709.3431831489233
97,709.7950218729866
98,709.244449009226
99,709.5198577901544
100,709.3135532462384
101,709.5873161235472
102,709.5339790349578
103,709.5543531305239
104,709.5417614106244
105,709.5285852765038
106,709.5252517027664
107,709.523191422653
108,709.5265250189611
109,709.5244647474149
110,709.5239783812468
111,709.5236777900601
112,709.5241641566887
113,709.5238466857236
114,710.0116451970861
115,715.5374420692848
116,718.8199525382404
117,720.7968741365619
118,718.2020408338562
119,719.5074557554143
120,719.0830881092402
121,718.948076338476
122,718.5843634547996
123,718.4384948759208
124,718.6744132553849
125,718.5286707128216
126,718.4942358201838
127,718.5499469594273
128,718.5155190972813
129,718.5073901219406
130,718.5023658217823
131,718.5104951890867
132,718.5054710386215
133,718.5042849622419
134,718.5035519199741
135,718.504738004724
136,718.5040049656218
137,716.6684240382544
138,714.6059953319029
139,713.3819666070655
140,713.6395527708868
141,713.9380603125651
142,714.1918823688765
143,713.9147676084267
144,713.9264393332548
145,714.0348225932141
146,713.9749927052269
147,713.9978351724694
148,714.0119590911072
149,714.020690636231
150,714.0260879768242
151,714.0166928518496
152,714.1177140909155
153,714.0728136179396
154,714.1466874220739
155,714.1650869183374
156,714.1766531890544
157,714.1838775091237
158,714.188371785227
159,714.1911607222503
160,714.1928887264129
161,714.1939583570309
162,714.1946200624265
163,714.1950292625756
164,714.1952822553392
165,714.1954386490678
166,714.195540248018
167,711.3126101320336
168,714.6913607064328
169,716.77954340092
170,718.0701112808326
171,718.8677260954084
172,719.3606791607451
173,719.665340909982
174,719.8536322260837
175,719.9700026592196
176,720.0419235421837
177,720.0863730923561
178,720.1138444251469
179,720.0609651277409
180,720.7219574893522
181,721.1304732351316
182,721.3829498509629
183,721.5389889809113
184,721.6354264667943
185,721.69502811086
186,721.7318639526766
187,721.7546297549248
188,721.768699794495
189,721.7773955571726
190,721.7827698340651
191,721.7865032035878
192,721.5475970625687
193,722.2522226973424
194,722.6877052889766
195,722.9568483321164
196,723.1231878806116
197,723.2259913752553
198,723.2878540768293
199,723.186723934464
200,723.1624553214026
201,723.1474564936716
202,723.1381867083423
203,723.1324576659404
204,722.8023512495297
205,722.940198702937
206,723.0253931144057
207,723.0780461563447
208,723.110587525874
209,723.1306991982838
210,723.1431288954036
211,723.1508108706934
212,723.154561688995
213,723.1478766172334
214,723.1460631488635
215,723.1449423637741
216,723.1441637886774
217,723.329465910926
218,723.5208093144929
219,723.6390660414219
220,723.7121527180605
221,723.7573227683484
222,723.7852393947007
223,723.8024928186376
224,723.8131560210527
225,723.8197462425728
226,723.8238192234675
227,723.8263364640947
228,723.8278922043608
229,723.8288537047231
230,723.8295291679317
231,723.8295291679317
232,723.8295291679317
233,723.8295291679317
234,723.8295291679317
235,723.8295291679317
236,723.8295291679317
237,723.8295291679317
238,723.8295291679317
239,723.8295291679317
240,723.8295291679317
241,723.8295291679317
242,723.8295291679317
243,723.8295291679317
244,723.8295291679317
245,723.8295291679317
246,723.8295291679317
247,723.8295291679317
248,723.8295291679317
249,723.8295291679317
250,723.8295291679317
251,723.8295291679317
252,723.8295291679317
253,723.8295291679317
254,723.8295291679317
255,723.8295291679317
256,723.8295291679317
257,723.8295291679317
258,723.8295291679317
259,723.8295291679317
260,723.8295291679317
261,723.8295291679317
262,723.8295291679317
263,723.8295291679317
264,723.8295291679317
265,723.8295291679317
266,723.8295291679317
267,723.8295291679317
268,723.8295291679317
269,723.8295291679317
270,723.8295291679317
271,723.8295291679317
272,723.8295291679317
273,723.8295291679317
274,723.8295291679317
275,723.8295291679317
276,723.8295291679317
277,723.8295291679317
278,723.8295291679317
279,723.8295291679317
280,723.8295291679317
281,723.8295291679317
282,723.8295291679317
283,723.8295291679317
284,723.8295291679317
285,723.8295291679317
286,723.8295291679317
287,723.8295291679317
288,723.8295291679317
289,723.7971235828195
290,723.7822043839042
291,723.7869555973132
292,723.7857027869036
293,723.7845065359209
294,723.7842380875097
295,723.7852477299136
296,723.7835414638625
297,723.7859998263866
298,723.785884747963
299,723.78581480167
300,723.7857718901033
301,723.7857454576515
302,723.7857291471678
303,723.7857190745838
304,723.785712851915
305,723.7857090069508
306,723.7857066309343
307,723.7857051625807
308,723.7857042551341
309,723.7857036943104
310,723.7857033477112
311,723.7857031334995
312,723.7857029783163
313,723.8798770068911
314,723.7966661890766
315,723.7857426395478
316,723.8198069731374
317,723.8367556942951
318,723.8541245420557
319,723.8291207665395
320,723.8238061352773
321,723.8229391704213
322,723.8219277607723
323,723.8211696561955
324,723.8223416563574
325,723.8225809229124
326,723.8227219653924
327,723.8228065337764
328,723.8226687064769
329,723.8227545018876
330,723.8227744656657
331,723.8227867487409
332,723.8227668532803
333,723.8227621404683
334,723.8227697628129
335,723.7729246770788
336,723.7855107847797
337,723.8352771906575
338,723.788955408603
339,723.9016817083929
340,723.90303457851
341,723.9019666106373
342,723.9036684384484
343,723.9041585001255
344,723.9045251417144
345,723.9039281688697
346,723.9038373103767
347,723.9039970334306
348,723.9040496687401
349,723.9040873630912
350,723.9040284430014
351,723.9040160403858
352,723.904036376132
353,723.9040413855579
354,723.9040333211274
355,723.9040333211274
356,723.9040333211274
357,723.9040333211274
358,723.9040333211274
359,723.9040333211274
360,723.9040333211274
361,723.9040333211274
362,723.9040333211274
363,723.9040333211274
364,723.9040333211274
365,723.9040333211274
366,723.9040333211274
367,723.9040333211274
368,723.9040333211274
369,723.9040333211274
370,723.9040333211274
