Method,ESA Score,ΔV (m/s),Alt (km),GLOW (t),GWP (tCO2),Feasible
Baseline,53.05169650826894,7562.158159504859,316.77665664798764,343.7801974843835,1132.113032343369,False
CMA-ES,69.05066495384106,7797.29467669239,302.3299045119565,446.21313417630677,1533.4117142698844,False
SLSQP,54.51677630036124,8486.620125468196,1161.07545843538,464.8401557739442,1201.2861861080473,True
